Branch,Gender,10th%,12th%,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Sem_6,Aggregate,Admission_Entrance_Exam,Company,Tier,No_of_Offers,Company Type
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Male,FCD,FCD,FC,SC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FCD,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Female,FCD,FCD,FC,FC,FC,FC,SC,FC,FC,Management,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,SC,SC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FCD,FCD,SC,FC,SC,SC,SC,SC,SC,Management,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
ISE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FC,FC,FC,FC,FC,SC,SC,SC,SC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,SC,FC,FC,SC,FC,Management,accenture,3,1,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,SC,FC,SC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
MECH,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,SC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FCD,FC,FC,SC,FC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,COMED-K,accenture,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,SC,SC,SC,FC,SC,SC,Management,accenture,3,1,MNC
MECH,Male,FCD,FC,FC,FC,SC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,SC,FC,SC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,FC,FC,FC,FC,SC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,SC,FC,FC,FC,Management,accenture,3,1,MNC
MECH,Female,FCD,FCD,FC,FCD,FC,FCD,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,SC,SC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FCD,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,FC,FC,SC,FC,Management,accenture,3,1,MNC
MECH,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FC,FCD,SC,SC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FC,FC,SC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FC,FC,FC,FC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,SC,FC,CET,accenture,3,1,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,SC,SC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FCD,FC,FC,FC,SC,SC,SC,FC,SC,Management,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,SC,SC,FC,FC,FC,Management,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FCD,FC,FC,FC,FC,FC,COMED-K,aci worldwide solutions pvt. ltd.,2,1,MNC
CSE,Female,FC,FCD,FCD,FCD,FC,FCD,FC,FC,FC,CET,adobe,1,2,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,adobe,1,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FC,FCD,FC,FC,FC,COMED-K,akamai,1,2,MNC
ISE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,akamai,1,2,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,amazon,1,2,MNC
ECE,Male,FCD,FCD,FC,FC,FC,FC,FC,SC,FC,CET,aryaka,2,1,Private
ECE,Male,FC,FCD,FC,FC,FC,FC,FC,SC,FC,CET,aryaka,2,2,Private
ECE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,aryaka,2,2,Private
ECE,Male,FC,FCD,FC,FC,FC,SC,SC,SC,FC,CET,atos,3,1,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,atos,3,1,MNC
ISE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,CET,atos,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,FC,FC,FC,FC,CET,atos,3,1,MNC
ECE,Female,FC,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,atos,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,atos,3,2,MNC
CSE,Male,FC,FC,FC,FC,SC,FC,FC,FC,FC,COMED-K,betsol,2,1,Private
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,betsol,2,2,Private
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,ca technologies,1,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,capgemini,3,1,MNC
ECE,Male,FC,FCD,FCD,FC,FC,FC,SC,SC,FC,COMED-K,capgemini,3,1,MNC
ISE,Male,FC,FCD,FC,FC,FC,SC,SC,FC,FC,CET,capgemini,3,1,MNC
CSE,Male,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,capillary,1,2,Private
CSE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,capillary,1,2,Private
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,capillary,1,2,Private
MECH,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
MECH,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Male,FC,FC,FC,FC,FC,SC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,cognizant technology solutions,3,1,MNC
MECH,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ISE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
CSE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ISE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,SC,FCD,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
CSE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
MECH,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
CSE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,Management,cognizant technology solutions,3,1,MNC
CSE,Male,FCD,FC,FC,FC,FC,SC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
MECH,Male,FC,FC,FC,FC,FC,FC,SC,FC,FC,CET,cognizant technology solutions,3,1,MNC
MECH,Female,FC,FCD,FCD,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
CSE,Male,FC,FCD,FC,FC,SC,FC,FC,FC,FC,Management,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,cognizant technology solutions,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,FC,FC,SC,FC,COMED-K,cognizant technology solutions,3,1,MNC
CSE,Male,FC,FC,FC,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
MECH,Male,FC,FCD,FC,FC,FC,FC,SC,FC,FC,CET,cognizant technology solutions,3,1,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FC,FC,FC,FC,SC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,SC,SC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
CSE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ISE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,cognizant technology solutions,3,1,MNC
MECH,Male,FC,FCD,FC,FC,SC,FC,FC,FC,FC,CET,cognizant technology solutions,3,1,MNC
ISE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,CET,csg solutions india pvt ltd,2,1,Private
ISE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,csg solutions india pvt ltd,2,2,Private
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,csg solutions india pvt ltd,2,2,Private
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,dansk it,2,2,MNC
ECE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,deloitte,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,deloitte,2,2,MNC
CSE,Female,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,deloitte,2,2,MNC
ISE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,deloitte,2,2,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,deloitte,2,2,MNC
ISE,Male,FCD,FC,FC,FC,FC,FC,SC,FC,FC,CET,deloitte,2,2,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,deloitte,2,2,MNC
CSE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FC,FCD,CET,deloitte,2,3,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,deloitte,2,2,MNC
CSE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,deloitte,2,2,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FCD,FC,FC,FC,COMED-K,deloitte,2,2,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,deloitte,2,3,MNC
ECE,Male,FC,FC,FCD,FCD,FC,FC,FC,SC,FC,CET,epsilon technologies,2,1,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,epsilon technologies,2,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,epsilon technologies,2,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,Management,epsilon technologies,2,1,MNC
ISE,Male,FC,FCD,FC,FC,SC,FC,FC,FC,FC,CET,epsilon technologies,2,1,MNC
CSE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,Management,epsilon technologies,2,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,epsilon technologies,2,1,MNC
CSE,Female,FC,FCD,FC,FC,SC,SC,FC,FC,FC,Management,epsilon technologies,2,2,MNC
ECE,Male,FCD,FCD,FCD,FC,SC,SC,FC,FC,FC,CET,epsilon technologies,2,2,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,epsilon technologies,2,2,MNC
CSE,Male,FC,FCD,FC,FC,FC,SC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,ericsson,3,1,MNC
ISE,Male,FC,FC,FC,FC,FC,FC,SC,FC,FC,COMED-K,ericsson,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FC,FC,FCD,CET,ericsson,3,1,MNC
ECE,Male,FCD,FC,FC,FC,SC,FC,SC,SC,FC,CET,ericsson,3,1,MNC
ECE,Female,FCD,FC,FC,FC,SC,SC,FC,FC,FC,CET,ericsson,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Male,FC,FCD,FC,FC,SC,SC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,SC,SC,SC,FC,COMED-K,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,ericsson,3,1,MNC
CSE,Male,FC,FC,FC,FC,SC,SC,SC,SC,SC,COMED-K,ericsson,3,1,MNC
ECE,Male,FC,FCD,FC,FC,FC,SC,FC,SC,FC,COMED-K,ericsson,3,1,MNC
ECE,Male,FC,FC,FCD,FCD,FC,FC,FC,SC,FC,COMED-K,ericsson,3,1,MNC
ECE,Male,FC,FCD,FC,FC,FC,SC,FC,SC,FC,CET,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Male,FC,FC,FC,FC,SC,FC,FC,FC,FC,COMED-K,ericsson,3,1,MNC
ECE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,ericsson,3,1,MNC
ISE,Male,FC,FC,FC,FC,SC,SC,FC,FC,FC,COMED-K,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FCD,FC,FCD,FC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Female,FCD,FC,FC,FC,SC,SC,FC,SC,FC,COMED-K,ericsson,3,1,MNC
CSE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,Management,ericsson,3,1,MNC
ISE,Female,FCD,FC,SC,FC,SC,SC,FC,FC,FC,CET,ericsson,3,1,MNC
ECE,Male,FCD,FC,SC,SC,FC,SC,SC,SC,SC,CET,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FCD,FC,FC,FC,FC,SC,FC,Management,ericsson,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,ericsson,3,2,MNC
ECE,Male,FCD,FCD,FC,FC,FC,FC,FC,SC,FC,CET,ericsson,3,2,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,ericsson,3,2,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,enrich,3,2,Private
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,enrich,3,2,Private
CSE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,Management,ge,1,1,MNC
CSE,Male,FC,FC,FC,FC,SC,SC,SC,SC,SC,Management,ge,1,1,MNC
CSE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,Management,ge,1,2,MNC
CSE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,ge,1,2,MNC
ISE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,ge,1,2,MNC
CSE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,ge,1,2,MNC
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,ge,1,1,MNC
CSE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,CET,ge,1,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,ge,1,1,MNC
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,globallogic,2,1,Private
ISE,Male,FC,FCD,FC,FC,SC,FC,SC,SC,FC,CET,globallogic,2,1,Private
CSE,Female,FCD,FCD,FCD,FCD,FC,FCD,FCD,FC,FCD,CET,inksedge,2,2,Private
CSE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,jda software pvt. ltd,2,2,Private
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,jda software pvt. ltd,2,1,Private
CSE,Female,FC,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,oracle,1,2,MNC
CSE,Male,FCD,FC,FC,FCD,FC,FC,FC,FC,FC,Management,oracle,1,2,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,oracle,1,2,MNC
ECE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,kpmg,2,1,Partnership
ISE,Female,FC,FC,FC,FC,FC,FC,FC,FC,FC,Management,kpmg,2,1,Partnership
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,kpmg,2,1,Partnership
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,kpmg,2,1,Partnership
ECE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,kpmg,2,2,Partnership
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,SC,FC,CET,kpmg,2,2,Partnership
CSE,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,l&t infotech,3,1,MNC
ISE,Male,FCD,FC,FC,FC,SC,SC,FC,SC,FC,CET,l&t infotech,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,l&t infotech,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,l&t infotech,3,1,MNC
ECE,Female,FC,FCD,FC,FC,FC,SC,FC,FC,FC,COMED-K,l&t infotech,3,1,MNC
ECE,Male,FC,FCD,FC,FC,FC,SC,FC,FC,FC,COMED-K,l&t infotech,3,1,MNC
ECE,Female,FCD,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,l&t infotech,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,l&t infotech,3,1,MNC
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,l&t infotech,3,1,MNC
CSE,Male,FC,FCD,FCD,FC,SC,FC,SC,SC,FC,CET,l&t infotech,3,1,MNC
ISE,Male,FC,FCD,SC,FC,SC,SC,FC,FC,SC,COMED-K,l&t infotech,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,SC,FC,FC,FC,CET,l&t infotech,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,FC,FC,FC,FC,CET,l&t infotech,3,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,l&t technology services,3,1,MNC
CSE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,mahindra comviva,2,1,MNC
CSE,Male,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,mahindra comviva,2,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,mahindra comviva,2,2,MNC
CSE,Male,FC,FCD,FC,FC,SC,FC,FC,FC,FC,COMED-K,mahindra comviva,2,2,MNC
ISE,Female,FCD,FC,FC,FC,SC,FC,SC,FC,FC,CET,manipal global education services private limited,2,1,Private
ECE,Female,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,media tek,1,2,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,FCD,COMED-K,media tek,1,2,MNC
ECE,Male,FC,FCD,FC,FCD,FCD,FCD,FC,FC,FCD,Management,media tek,1,2,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,microchip,2,2,Private
MECH,Male,FC,FC,FC,FC,FC,SC,FC,SC,FC,COMED-K,musigma,3,1,Private
ISE,Female,FC,FCD,FCD,FC,FC,FC,FC,FC,FC,CET,musigma,3,1,Private
CSE,Male,FC,FCD,FC,FC,FC,SC,FC,SC,FC,COMED-K,musigma,3,1,Private
MECH,Male,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,musigma,3,1,Private
ISE,Male,FCD,FC,FC,FC,FC,SC,FC,FC,FC,COMED-K,musigma,3,1,Private
MECH,Male,FCD,FC,FC,FC,FC,FC,SC,FC,FC,CET,musigma,3,1,Private
CSE,Male,FC,FCD,FCD,FCD,FC,FC,FC,FC,FC,COMED-K,ola,1,2,Private
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,oracle,1,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FC,COMED-K,oracle,1,2,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,otis elevator company (i) ltd,3,1,Private
CSE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,perfios software solutions pvt. ltd.,2,1,Private
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,pwc,2,1,MNC
CSE,Male,FC,FCD,FCD,FCD,FC,FCD,FCD,FCD,FCD,Management,pwc,2,2,MNC
MECH,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,CET,quest global engineering pvt. ltd.,3,1,Private
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FCD,FC,FCD,CET,quest global engineering pvt. ltd.,3,1,Private
MECH,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,quest global engineering pvt. ltd.,3,1,Private
MECH,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,CET,quest global engineering pvt. ltd.,3,1,Private
MECH,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,quest global engineering pvt. ltd.,3,1,Private
